 TIME, Mass Concentration PM1.0, Mass Concentration PM2.5, Mass Concentration PM4.0 , Mass Concentration PM10, Number Concentration PM0.5, Number Concentration PM1.0, Number Concentration PM2.5, Number Concentration PM4.0, Number Concentration PM10, Particle Size
 Wed Mar 18 19:06:03 2020,0.8374126,1.73900974,1.7390089,1.73901069,13.66479778,18.13180923,18.24920654,15.62767315,15.62926388,0.14770132
 Wed Mar 18 19:06:18 2020,0.89951962,1.7488656,1.74886477,1.74886632,3.27555704,15.690341,15.744977,15.74783421,15.74931431,0.23943269
 Wed Mar 18 19:06:33 2020,0.77830994,1.98452294,1.98452222,1.98452365,4.81499577,13.63322067,13.68272114,13.68531036,13.68665123,0.16276711
 Wed Mar 18 19:06:48 2020,1.54076898,1.3961879,1.39618731,1.39618862,3.52405429,3.98716903,2.69728971,2.69847274,2.69908571,0.16216505
 Wed Mar 18 19:07:03 2020,0.62536925,0.55480051,0.55479991,0.55480111,6.34270334,2.53496027,6.29861307,6.30076742,6.3018837,0.19149375
 Wed Mar 18 19:07:18 2020,0.93482107,1.40973091,1.40973008,1.40973186,7.65673399,7.37061119,6.84037685,6.84206438,6.8429389,0.19228387
 Wed Mar 18 19:07:33 2020,1.58667815,1.58481896,1.58481789,1.58482015,3.69450378,3.76972628,3.00879788,3.00986075,3.0104115,0.14818281
 Wed Mar 18 19:07:48 2020,1.83629429,1.02460504,1.02460432,1.02460563,2.19115543,3.99998808,2.46018434,2.46137142,2.4619863,0.14812946
 Wed Mar 18 19:08:03 2020,0.74984753,0.6201157,0.62011504,0.62011635,6.23271418,4.18691397,7.23082685,7.2331233,7.23431349,0.16238242
 Wed Mar 18 19:08:18 2020,0.88599163,1.79047382,1.79047287,1.79047489,3.2822566,4.34943295,5.82313299,5.82502651,5.82600737,0.18149781
 Wed Mar 18 19:08:33 2020,1.91022837,1.39325845,1.39325786,1.39325917,3.26475191,3.22617936,3.99873519,3.99991488,2.68802595,0.16273713
 Wed Mar 18 19:08:48 2020,0.84087259,1.86549151,1.86549067,1.86549222,2.81146502,29.50502205,29.61355209,29.61922836,29.62216949,0.1332292
 Wed Mar 18 19:09:03 2020,0.66469127,0.83947051,0.83947009,0.83947092,5.1399312,9.61910057,10.54979134,10.55270481,10.55421352,0.14750206
 Wed Mar 18 19:09:18 2020,0.78463995,0.5225268,0.52252638,0.52252722,19.75141335,11.47438335,14.28106499,14.28402996,14.28556633,0.1914503
 Wed Mar 18 19:09:33 2020,0.57946891,0.73026878,0.73026842,0.73026913,2.30008173,21.90652084,11.50169849,11.50423241,11.50554466,0.13304949
 Wed Mar 18 19:09:48 2020,0.914051,1.15522802,1.1552273,1.15522873,3.73465037,14.74167538,12.35431576,12.35693836,12.35829735,0.13335001
 Wed Mar 18 19:10:03 2020,1.44137251,0.58192801,0.58192772,0.58192837,3.4864099,2.03782487,3.27958679,3.28079033,3.50016403,0.14784223
 Wed Mar 18 19:10:18 2020,1.91091096,1.39361942,1.3936187,1.39362001,3.51589799,3.22753334,2.68759704,2.68877721,2.68938851,0.16238499
 Wed Mar 18 19:10:33 2020,0.9617303,1.22589481,1.22589409,1.22589552,7.76019812,8.56848431,8.61760235,8.62017155,8.62150288,0.19182986
 Wed Mar 18 19:10:48 2020,0.77970642,1.98747635,1.98747563,1.98747706,4.83375311,13.6553793,14.70501041,14.70760632,14.70895195,0.16269207
 Wed Mar 18 19:11:03 2020,1.62518322,0.77882791,0.77882761,0.77882826,5.34221792,6.21670246,5.13855886,5.14100981,5.14227962,0.14839375
 Wed Mar 18 19:11:18 2020,0.62286371,0.62901956,0.62901902,0.62902009,3.93936825,6.77472115,7.71783686,6.21976519,6.22076416,0.41270792
 Wed Mar 18 19:11:33 2020,1.18597734,0.99173462,0.99173415,0.99173516,6.18311167,4.78795052,3.2397418,3.24066448,3.24114275,0.41322851
 Wed Mar 18 19:11:48 2020,1.69463015,0.69647306,0.6964727,0.69647348,2.82792044,2.77670097,2.00880194,2.00950027,2.00986195,0.44175696
 Wed Mar 18 19:12:03 2020,1.93808413,1.30152047,1.30151951,1.30152142,5.80284309,3.04006815,2.27556968,2.27644563,2.27689958,0.19209319
 Wed Mar 18 19:12:18 2020,1.41223943,0.88476032,0.88475984,0.88476086,3.19984865,2.98790288,3.69249201,3.69338584,3.69384909,0.19230622
 Wed Mar 18 19:12:33 2020,0.55228758,0.57279694,0.57279646,0.57279742,6.14857626,5.74730921,4.21745396,6.65666151,6.65754604,0.23973715
 Wed Mar 18 19:12:48 2020,1.06724834,0.56046838,0.56046778,0.56046891,5.76396608,2.79536295,3.25176764,3.25275636,3.25326872,0.14828229
 Wed Mar 18 19:13:03 2020,1.93244207,1.33704209,1.33704126,1.33704305,3.43766761,3.21792412,3.95226121,3.9530766,2.73474908,0.14779508
 Wed Mar 18 19:13:18 2020,1.20733237,0.75769573,0.75769526,0.75769627,4.26254129,3.79751253,3.03287339,3.03374219,3.03419232,0.14820403
